filename,ID,count_StoExon,count_StoEnd,count_ExontoEnd,psi
TCGA-06-5417-01A-01R-1849-01_gdc_realn_rehead_junc_itga6.txt,TCGA-06-5417,30,45,22,0.633802816901408
TCGA-06-5418-01A-01R-1849-01_gdc_realn_rehead_junc_itga6.txt,TCGA-06-5418,19,35,10,0.707070707070707
TCGA-06-5856-01A-01R-1849-01_gdc_realn_rehead_junc_itga6.txt,TCGA-06-5856,34,68,33,0.669950738916256
TCGA-06-5858-01A-01R-1849-01_gdc_realn_rehead_junc_itga6.txt,TCGA-06-5858,65,138,66,0.678132678132678
TCGA-06-5859-01A-01R-1849-01_gdc_realn_rehead_junc_itga6.txt,TCGA-06-5859,63,71,85,0.489655172413793
TCGA-06-AABW-11A-31R-A36H-07_gdc_realn_rehead_junc_itga6.txt,TCGA-06-AABW,31,12,26,0.296296296296296
TCGA-08-0386-01A-01R-1849-01_gdc_realn_rehead_junc_itga6.txt,TCGA-08-0386,116,167,106,0.600719424460432
TCGA-12-0616-01A-01R-1849-01_gdc_realn_rehead_junc_itga6.txt,TCGA-12-0616,17,18,14,0.537313432835821
TCGA-12-0618-01A-01R-1849-01_gdc_realn_rehead_junc_itga6.txt,TCGA-12-0618,58,110,66,0.63953488372093
TCGA-12-0619-01A-01R-1849-01_gdc_realn_rehead_junc_itga6.txt,TCGA-12-0619,52,54,51,0.511848341232227
TCGA-12-0821-01A-01R-1849-01_gdc_realn_rehead_junc_itga6.txt,TCGA-12-0821,53,134,77,0.673366834170854
TCGA-12-1597-01B-01R-1849-01_gdc_realn_rehead_junc_itga6.txt,TCGA-12-1597,18,31,9,0.696629213483146
TCGA-12-3650-01A-01R-1849-01_gdc_realn_rehead_junc_itga6.txt,TCGA-12-3650,6,10,2,0.714285714285714
TCGA-12-3652-01A-01R-1849-01_gdc_realn_rehead_junc_itga6.txt,TCGA-12-3652,13,64,13,0.831168831168831
TCGA-12-3653-01A-01R-1849-01_gdc_realn_rehead_junc_itga6.txt,TCGA-12-3653,36,67,27,0.680203045685279
TCGA-12-5295-01A-01R-1849-01_gdc_realn_rehead_junc_itga6.txt,TCGA-12-5295,17,22,8,0.63768115942029
TCGA-12-5299-01A-02R-1849-01_gdc_realn_rehead_junc_itga6.txt,TCGA-12-5299,31,104,28,0.779026217228464
TCGA-14-0736-02A-01R-2005-01_gdc_realn_rehead_junc_itga6.txt,TCGA-14-0736,37,22,45,0.349206349206349
TCGA-14-0781-01B-01R-1849-01_gdc_realn_rehead_junc_itga6.txt,TCGA-14-0781,54,155,58,0.734597156398104
TCGA-14-0787-01A-01R-1849-01_gdc_realn_rehead_junc_itga6.txt,TCGA-14-0787,15,80,29,0.784313725490196
