ID_in_Cello2,Patient,Batch,geneSymbol,I_exon8_covbases,I_exon8_meandepth,I_exon9_covbases,I_exon9_meandepth,I_exon10_covbases,I_exon10_meandepth,I_form2_covbases,I_form2_meandepth,I_form4_covbases,I_form4_meandepth,R_exon8_covbases,R_exon8_meandepth,R_exon9_covbases,R_exon9_meandepth,R_exon10_covbases,R_exon10_meandepth,R_form2_covbases,R_form2_meandepth,R_form4_covbases,R_form4_meandepth,I_norm_form4,R_norm_form4,Source.x,I_11_10,I_11_9,I_11_8,I_10_9,I_9_8,R_11_10,R_11_9,R_11_8,R_10_9,R_9_8,I_psi,R_psi,RvI,Diff
PS093,R093,E,CD47,32,579.281,25,26.56,33,23.3333,32,579.281,58,24.72411897,32,724.344,25,41.4,33,36.3939,32,724.344,58,38.55170172,0.042680701,0.053222919,NG2016,28,15,535,14,49,44,18,675,27,54,0.04973357,0.061196106,1.008161728,0.011462536
PS095,R095,D,CD47,32,724.094,25,53.56,33,59.1212,32,724.094,58,56.72413103,32,433.406,25,11.72,33,16.4848,32,433.406,58,14.4310069,0.078338076,0.03329674,NG2016,43,27,683,31,56,12,15,415,4,24,0.05922865,0.028103044,0.615158514,-0.031125606
PS099,R099,D,CD47,32,484.969,25,10.16,33,6.06061,32,484.969,58,7.827588448,32,1007.78,25,12.96,33,15.1212,32,1007.78,58,14.18964828,0.016140389,0.014080105,NG2016,16,11,446,5,14,20,22,865,5,37,0.034632035,0.02259887,0.980302182,-0.012033165
PS100,R100,D,CD47,32,862.031,25,56.96,33,41.1212,32,862.031,58,47.94826897,32,2005.28,25,155.72,33,109.061,32,2005.28,58,129.1726379,0.055622442,0.06441626,NG2016,41,23,684,39,84,98,59,1625,89,234,0.056551724,0.056877539,1.107037409,0.000325815
PS101,R101,D,CD47,32,991.344,25,39.6,33,41.2424,32,991.344,58,40.53446897,32,882.031,25,295.96,33,270.394,32,882.031,58,281.4138276,0.040888399,0.319052083,NG2016,49,20,881,27,65,282,18,550,252,321,0.052688172,0.338942308,5.826807182,0.286254136
PS102,R102,D,CD47,32,442.281,25,20.36,33,17,32,442.281,58,18.44827586,32,637.281,25,36.32,33,22.2424,32,637.281,58,28.31033103,0.041711663,0.044423623,NG2016,22,12,399,10,40,14,21,580,12,51,0.052256532,0.023569024,0.736010533,-0.028687508
PS103,R103,D,CD47,32,646.875,25,63.6,33,50.6667,32,646.875,58,56.24139828,32,352.031,25,30,33,27,32,352.031,58,28.29310345,0.086943224,0.080371057,NG2016,58,20,568,40,79,29,7,319,23,40,0.092651757,0.083333333,0.906854293,-0.009318424
PS104,R104,D,CD47,32,621.812,25,14.48,33,8.84848,32,621.812,58,11.27585931,32,357.625,25,204.6,33,184.848,32,357.625,58,193.3617931,0.018133872,0.540683099,NG2016,24,27,602,5,34,182,7,146,179,218,0.038338658,0.554878049,12.57723739,0.516539391
PS106,R106,D,CD47,32,801.75,25,43.84,33,36.8788,32,801.75,58,39.87931724,32,1593.44,25,106.76,33,58.8485,32,1593.44,58,79.50000862,0.04974034,0.049892063,NG2016,36,12,703,30,80,62,49,1443,53,167,0.048714479,0.041196013,0.964570764,-0.007518466
PS107,R107,D,CD47,32,790.969,25,24.88,33,22.7879,32,790.969,58,23.68966724,32,444.188,25,55.08,33,55.9697,32,444.188,58,55.58620862,0.029950184,0.125141176,NG2016,23,9,754,19,52,60,9,346,47,63,0.02960103,0.147783251,3.185423313,0.118182222
PS108,R108,D,CD47,32,348.406,25,16.8,33,7.9697,32,348.406,58,11.77586379,32,187.875,25,19.56,33,16.7576,32,187.875,58,17.96553103,0.033799257,0.095624916,NG2016,10,11,298,7,27,17,2,147,17,24,0.032467532,0.103658537,2.093828157,0.071191004
PS109,R109,D,CD47,32,873.688,25,49.88,33,34,32,873.688,58,40.84482759,32,401.562,25,77.96,33,65.9697,32,401.562,58,71.13793276,0.046749901,0.177153049,NG2016,45,27,799,30,72,65,14,339,63,86,0.053317536,0.160891089,2.669934944,0.107573554
